#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
  51:-cba   D2h^5   Pcmm                P c m m    -P 2c 2c         8
  51:bca    D2h^5   Pmcm                P m c m    -P 2c 2          8
  51:a-cb   D2h^5   Pmam                P m a m    -P 2 2a          8
  52        D2h^6   Pnna                P n n a    -P 2a 2bc        8
  52:ba-c   D2h^6   Pnnb                P n n b    -P 2b 2n         8
  52:cab    D2h^6   Pbnn                P b n n    -P 2n 2b         8
  52:-cba   D2h^6   Pcnn                P c n n    -P 2ab 2c        8
  52:bca    D2h^6   Pncn                P n c n    -P 2ab 2n        8
  52:a-cb   D2h^6   Pnan                P n a n    -P 2n 2bc        8
  53        D2h^7   Pmna                P m n a    -P 2ac 2         8
  53:ba-c   D2h^7   Pnmb                P n m b    -P 2bc 2bc       8
  53:cab    D2h^7   Pbmn                P b m n    -P 2ab 2ab       8
  53:-cba   D2h^7   Pcnm                P c n m    -P 2 2ac         8
  53:bca    D2h^7   Pncm                P n c m    -P 2 2bc         8
  53:a-cb   D2h^7   Pman                P m a n    -P 2ab 2         8
  54        D2h^8   Pcca                P c c a    -P 2a 2ac        8
  54:ba-c   D2h^8   Pccb                P c c b    -P 2b 2c         8
  54:cab    D2h^8   Pbaa                P b a a    -P 2a 2b         8
  54:-cba   D2h^8   Pcaa                P c a a    -P 2ac 2c        8
  54:bca    D2h^8   Pbcb                P b c b    -P 2bc 2b        8
  54:a-cb   D2h^8   Pbab                P b a b    -P 2b 2ab        8
  55        D2h^9   Pbam                P b a m    -P 2 2ab         8
  55:cab    D2h^9   Pmcb                P m c b    -P 2bc 2         8
  55:bca    D2h^9   Pcma                P c m a    -P 2ac 2ac       8
  56        D2h^10  Pccn                P c c n    -P 2ab 2ac       8
  56:cab    D2h^10  Pnaa                P n a a    -P 2ac 2bc       8
  56:bca    D2h^10  Pbnb                P b n b    -P 2bc 2ab       8
  57        D2h^11  Pbcm                P b c m    -P 2c 2b         8
  57:ba-c   D2h^11  Pcam                P c a m    -P 2c 2ac        8
  57:cab    D2h^11  Pmca                P m c a    -P 2ac 2a        8
  57:-cba   D2h^11  Pmab                P m a b    -P 2b 2a         8
  57:bca    D2h^11  Pbma                P b m a    -P 2a 2ab        8
  57:a-cb   D2h^11  Pcmb                P c m b    -P 2bc 2c        8
  58        D2h^12  Pnnm                P n n m    -P 2 2n          8
  58:cab    D2h^12  Pmnn                P m n n    -P 2n 2          8
  58:bca    D2h^12  Pnmn                P n m n    -P 2n 2n         8
  59:1      D2h^13  Pmmn:1              P m m n     P 2 2ab -1ab    8
  59:2      D2h^13  Pmmn:2              P m m n    -P 2ab 2a        8
  59:1cab   D2h^13  Pnmm:1              P n m m     P 2bc 2 -1bc    8
  59:2cab   D2h^13  Pnmm:2              P n m m    -P 2c 2bc        8
  59:1bca   D2h^13  Pmnm:1              P m n m     P 2ac 2ac -1ac  8
  59:2bca   D2h^13  Pmnm:2              P m n m    -P 2c 2a         8
  60        D2h^14  Pbcn                P b c n    -P 2n 2ab        8
  60:ba-c   D2h^14  Pcan                P c a n    -P 2n 2c         8
  60:cab    D2h^14  Pnca                P n c a    -P 2a 2n         8
  60:-cba   D2h^14  Pnab                P n a b    -P 2bc 2n        8
  60:bca    D2h^14  Pbna                P b n a    -P 2ac 2b        8
  60:a-cb   D2h^14  Pcnb                P c n b    -P 2b 2ac        8
  61        D2h^15  Pbca                P b c a    -P 2ac 2ab       8
  61:ba-c   D2h^15  Pcab                P c a b    -P 2bc 2ac       8
  62        D2h^16  Pnma                P n m a    -P 2ac 2n        8
  62:ba-c   D2h^16  Pmnb                P m n b    -P 2bc 2a        8
  62:cab    D2h^16  Pbnm                P b n m    -P 2c 2ab        8
  62:-cba   D2h^16  Pcmn                P c m n    -P 2n 2ac        8
  62:bca    D2h^16  Pmcn                P m c n    -P 2n 2a         8
  62:a-cb   D2h^16  Pnam                P n a m    -P 2c 2n         8
  63        D2h^17  Cmcm                C m c m    -C 2c 2          16
  63:ba-c   D2h^17  Ccmm                C c m m    -C 2c 2c         16
  63:cab    D2h^17  Amma                A m m a    -A 2a 2a         16
  63:-cba   D2h^17  Amam                A m a m    -A 2 2a          16
  63:bca    D2h^17  Bbmm                B b m m    -B 2 2b          16
  63:a-cb   D2h^17  Bmmb                B m m b    -B 2b 2          16
  64        D2h^18  Cmca                C m c a    -C 2bc 2         16
